,work_year,experience_level,employment_type,job_title,salary_in_usd,remote_ratio,Job Title,min_salary,max_salary,Rating,Company Name,Size
15,2020.0,MI,FT,Data Analyst,8000.0,50.0,"Data Scientist, Analytics",,,3.7,"Twitch Interactive, Inc.
3.7",10000+ Employees
16,2020.0,EN,FT,Data Engineer,41689.0,100.0,Grace Hopper 2023: Data Scientist,82.0,123.0,3.5,"Chewy
3.5",10000+ Employees
17,2020.0,SE,FT,Big Data Engineer,114047.0,100.0,Data Scientist,112.0,165.0,4.2,"Colgate-Palmolive
4.2",10000+ Employees
18,2020.0,EN,FT,Data Science Consultant,5707.0,50.0,,,,,,
19,2020.0,MI,FT,Lead Data Engineer,56000.0,100.0,,,,,,
20,2020.0,MI,FT,Machine Learning Engineer,43331.0,0.0,Data Scientist - NLP,121.0,169.0,3.5,"Bloomberg BNA
3.4",1001 to 5000 Employees
21,2020.0,MI,FT,Product Data Analyst,6072.0,100.0,"Data Scientist, Product",160.0,255.0,4.8,"Notion
4.9",501 to 1000 Employees
22,2020.0,SE,FT,Data Engineer,47899.0,50.0,Data Scientist II,102.0,152.0,3.6,"Zendesk
3.6",1001 to 5000 Employees
23,2020.0,MI,FT,BI Data Analyst,98000.0,0.0,Data Scientist,125.0,145.0,4.1,"Procter & Gamble
4.1",10000+ Employees
24,2020.0,MI,FT,Lead Data Scientist,115000.0,0.0,,,,,,
25,2020.0,EX,FT,Director of Data Science,325000.0,100.0,,,,,,
26,2020.0,EN,FT,Research Scientist,42000.0,50.0,"Data Scientist (Omics data analysis (genetics, genomics and proteomics))",,,3.7,"Tellus Solutions
3.7",51 to 200 Employees
27,2020.0,SE,FT,Data Engineer,33511.0,0.0,,,,,,
28,2020.0,EN,CT,Business Data Analyst,100000.0,100.0,Data Scientist,130.0,146.0,4.4,"SAP
4.4",10000+ Employees
29,2020.0,SE,FT,Machine Learning Manager,117104.0,50.0,,,,,,
30,2020.0,MI,FT,Data Engineering Manager,59303.0,100.0,,,,,,
31,2020.0,EN,FT,Big Data Engineer,70000.0,100.0,Data Scientist,105.0,157.0,3.9,"Morrison & Foerster
3.9",1001 to 5000 Employees
32,2020.0,SE,FT,Data Scientist,68428.0,100.0,"Data Scientist, Analytics",150.0,175.0,4.7,"Parafin
4.7",51 to 200 Employees
33,2020.0,MI,FT,Research Scientist,450000.0,0.0,Data Scientist,136.0,186.0,3.8,"Pinterest
3.8",1001 to 5000 Employees
34,2020.0,MI,FT,Data Analyst,46759.0,50.0,,,,,,
35,2020.0,MI,FT,Data Engineer,74130.0,50.0,,,,,,
36,2020.0,MI,FT,Data Science Consultant,103000.0,100.0,"Data Scientist, NLP",68.0,191.0,3.5,"Ancestry
3.5",1001 to 5000 Employees
37,2020.0,EN,FT,Machine Learning Engineer,250000.0,50.0,Data Scientist,88.0,126.0,4.5,"Pattern Bioscience
4.5",1 to 50 Employees
38,2020.0,EN,FT,Data Analyst,10000.0,100.0,Data Scientist,95.0,125.0,3.1,"Burlington Stores
3.1",10000+ Employees
39,2020.0,EN,FT,Machine Learning Engineer,138000.0,100.0,Data Scientist,100.0,151.0,4.4,"LiveView Technologies
4.4",501 to 1000 Employees
40,2020.0,MI,FT,Data Scientist,45760.0,100.0,Data Scientist,,,4.1,"Old Dominion University
4.1",1001 to 5000 Employees
41,2020.0,EX,FT,Data Engineering Manager,79833.0,50.0,Data Analyst Associate,,,4.2,"eTeam Inc.
4.2",5001 to 10000 Employees
42,2020.0,MI,FT,Machine Learning Infrastructure Engineer,50180.0,0.0,,,,,,
43,2020.0,MI,FT,Data Engineer,106000.0,100.0,,,,,,
44,2020.0,MI,FT,Data Engineer,112872.0,50.0,Data Scientist,82.0,96.0,2.6,"Galaxy Technologies
2.6",51 to 200 Employees
45,2020.0,EN,PT,ML Engineer,15966.0,100.0,Data Scientist,86.0,129.0,4.0,"JANUS Research Group
4.0",201 to 500 Employees
46,2020.0,MI,FT,Data Scientist,76958.0,100.0,Data Scientist,81.0,184.0,3.7,"National Security Agency
3.7",Unknown
47,2020.0,SE,FT,Data Engineer,188000.0,100.0,Data Scientist,85.0,130.0,4.5,"Skylight
4.5",1 to 50 Employees
48,2020.0,MI,FT,Data Scientist,105000.0,100.0,Data Scientist,82.0,164.0,3.8,"Abbott Laboratories
3.8",10000+ Employees
49,2020.0,MI,FT,Data Engineer,70139.0,50.0,Data Scientist,92.0,128.0,4.0,"JPMorgan Chase & Co
4.0",10000+ Employees
50,2020.0,EN,FT,Data Analyst,6072.0,0.0,,,,,,
51,2020.0,EN,FT,Data Analyst,91000.0,100.0,"Aspire Program, Early Career -Data Scientist I",61.0,90.0,4.0,"RELX
4.0",10000+ Employees
52,2020.0,EN,FT,AI Scientist,45896.0,50.0,Data Scientist,150.0,200.0,4.3,"Neuberger Berman
4.3",1001 to 5000 Employees
53,2020.0,EN,FT,Data Engineer,54742.0,100.0,,,,,,
54,2020.0,SE,FL,Computer Vision Engineer,60000.0,100.0,,,,,,
55,2020.0,SE,FT,Principal Data Scientist,148261.0,100.0,,,,,,
56,2020.0,MI,FT,Data Scientist,38776.0,100.0,Data Scientist - Level 1,84.0,122.0,4.2,"OPS Consulting, LLC
4.2",51 to 200 Employees
57,2020.0,MI,FT,Data Scientist,118000.0,100.0,Data Scientist - BCG X,94.0,144.0,4.3,"Boston Consulting Group
4.3",10000+ Employees
58,2020.0,SE,FT,Data Scientist,120000.0,50.0,,,,,,
59,2020.0,MI,FT,Data Scientist,138350.0,100.0,,,,,,
60,2020.0,MI,FT,Data Engineer,110000.0,100.0,College Graduate - Data Science (BS/MS),106.0,159.0,4.1,"INTEL
4.1",10000+ Employees
61,2020.0,MI,FT,Data Engineer,130800.0,100.0,,,,,,
62,2020.0,EN,PT,Data Scientist,21669.0,50.0,Data Scientist,82.0,140.0,4.4,"SAP
4.4",10000+ Employees
63,2020.0,SE,FT,Data Scientist,412000.0,100.0,Data Scientist,89.0,123.0,4.1,"Federal Bureau of Investigation
4.1",10000+ Employees
64,2020.0,SE,FT,Machine Learning Engineer,45618.0,100.0,,,,,,
65,2020.0,EN,FT,Data Scientist,62726.0,50.0,,,,,,
66,2020.0,EN,FT,Data Scientist,49268.0,0.0,Data Scientist,112.0,157.0,4.1,"University of California San Francisco
4.1",10000+ Employees
67,2020.0,SE,FT,Data Science Manager,190200.0,100.0,Data Scientist,90.0,120.0,2.7,"REVOLVE
2.8",1001 to 5000 Employees
68,2020.0,EN,FT,Data Scientist,105000.0,100.0,"Jr. Data Scientist, Minerva Analytics",,,3.7,"Amazon.com Services LLC
3.7",10000+ Employees
69,2020.0,SE,FT,Data Scientist,91237.0,0.0,,,,,,
70,2020.0,MI,FT,Data Scientist,62726.0,50.0,"Research Data Science, Future Leaders Graduate Program, US, 2024",69.0,110.0,4.1,"GSK
4.1",10000+ Employees
71,2020.0,MI,FT,Data Scientist,42197.0,50.0,,,,,,
72,2021.0,EN,FT,Research Scientist,82528.0,50.0,,,,,,
73,2021.0,EX,FT,BI Data Analyst,150000.0,100.0,Data Scientist,69.0,122.0,4.0,"US National Oceanic and Atmospheric Administration
4.0",10000+ Employees
74,2021.0,EX,FT,Head of Data,235000.0,100.0,,,,,,
75,2021.0,SE,FT,Data Scientist,53192.0,50.0,Associate Data Scientist,89.0,122.0,3.4,"OneMain Financial
3.4",5001 to 10000 Employees
76,2021.0,MI,FT,BI Data Analyst,100000.0,100.0,Research and Development Engineer - Co-op - Engineer or Scientist,,,4.1,"Procter & Gamble
4.1",10000+ Employees
77,2021.0,MI,PT,3D Computer Vision Researcher,5409.0,50.0,,,,,,
78,2021.0,MI,CT,ML Engineer,270000.0,100.0,,,,,,
79,2021.0,EN,FT,Data Analyst,80000.0,100.0,Environmental Data Scientist I,75.0,80.0,3.9,"Battelle
3.9",1001 to 5000 Employees
80,2021.0,SE,FT,Data Analytics Engineer,79197.0,100.0,Research Data Analyst,70.0,80.0,4.0,"Health Choice Network
4.0",51 to 200 Employees
81,2021.0,MI,FT,Data Engineer,140000.0,100.0,Data Scientist Trainee,79.0,118.0,3.4,"Axle Informatics
3.4",501 to 1000 Employees
82,2021.0,MI,FT,Applied Data Scientist,54238.0,50.0,,,,,,
83,2021.0,MI,FT,Machine Learning Engineer,47282.0,100.0,Research & Development Engineer Co-op (Associate Scientist),,,4.1,"Procter & Gamble
4.1",10000+ Employees
84,2021.0,EX,FT,Director of Data Science,153667.0,100.0,,,,,,
85,2021.0,MI,FT,Data Engineer,28476.0,100.0,Data Scientist,130.0,170.0,4.3,"Flow
4.3",51 to 200 Employees
86,2021.0,EN,FT,Data Analyst,59102.0,50.0,Data Scientist,96.0,134.0,2.7,"GEHA
2.8",1001 to 5000 Employees
87,2021.0,MI,FT,Data Analytics Engineer,110000.0,100.0,Junior Data Scientist (Co-op),85.0,127.0,3.8,"Gentherm
3.8",10000+ Employees
88,2021.0,SE,FT,Lead Data Analyst,170000.0,100.0,Data Scientist/Data Analyst,,,3.8,"Clifford Beers Community Care Center
4.1",51 to 200 Employees
89,2021.0,SE,FT,Data Analyst,80000.0,100.0,,,,,,
90,2021.0,SE,FT,Marketing Data Analyst,88654.0,100.0,,,,,,
91,2021.0,EN,FT,Data Science Consultant,76833.0,100.0,Data Scientist,70.0,105.0,3.5,"Denver Health
3.4",5001 to 10000 Employees
92,2021.0,MI,FT,Lead Data Analyst,19609.0,100.0,Data Scientist,197.0,269.0,3.9,"Meta
3.9",10000+ Employees
93,2021.0,SE,FT,Lead Data Engineer,276000.0,0.0,Data Scientist,105.0,120.0,4.0,"The Associated Press
4.0",1001 to 5000 Employees
94,2021.0,EN,FT,Data Scientist,29751.0,50.0,Associate Data Scientist,91.0,131.0,3.9,"BOEING
3.9",10000+ Employees
95,2021.0,MI,FT,Cloud Data Engineer,89294.0,50.0,Analytics Scientist,98.0,133.0,4.0,"Ford Motor Company
4.0",10000+ Employees
96,2021.0,EN,PT,AI Scientist,12000.0,100.0,,,,,,
97,2021.0,MI,FT,Financial Data Analyst,450000.0,100.0,Data Scientist,81.0,120.0,3.9,"University Health
3.9",1001 to 5000 Employees
98,2021.0,EN,FT,Computer Vision Software Engineer,70000.0,100.0,Data Scientist,80.0,90.0,3.5,"SoundThinking
3.5",201 to 500 Employees
99,2021.0,MI,FT,Computer Vision Software Engineer,95746.0,100.0,,,,,,
100,2021.0,MI,FT,Data Analyst,75000.0,0.0,,,,,,
101,2021.0,SE,FT,Data Engineer,150000.0,100.0,,,,,,
102,2021.0,MI,FT,BI Data Analyst,36259.0,50.0,,,,,,
103,2021.0,MI,FT,Data Analyst,62000.0,0.0,Research & Development Engineer (Associate Scientist) - Full Time Campus,85.0,115.0,4.1,"Procter & Gamble
4.1",10000+ Employees
104,2021.0,MI,FT,Data Scientist,73000.0,0.0,Data Analytics Engineer,85.0,115.0,4.1,"Procter & Gamble
4.1",10000+ Employees
105,2021.0,MI,FT,Data Analyst,51519.0,50.0,Data Scientist 1,5.0,7.0,3.8,"University of New Mexico
3.8",10000+ Employees
106,2021.0,MI,FT,Research Scientist,187442.0,100.0,Machine Learning Data Scientist,180.0,250.0,3.7,"Machinify
3.7",51 to 200 Employees
107,2021.0,SE,FT,Data Engineer,115000.0,100.0,Data Scientist,82.0,109.0,3.6,"BRADY WORLDWIDE INC
3.6",5001 to 10000 Employees
108,2021.0,SE,FT,Data Engineer,150000.0,100.0,Junior Data Scientist,95.0,115.0,2.9,"FriendFinder Networks
2.9",201 to 500 Employees
109,2021.0,EN,FT,Data Engineer,30428.0,100.0,"Data Scientist (L5), Member Product",126.0,195.0,4.2,"Netflix
4.2",5001 to 10000 Employees
110,2021.0,SE,FT,Machine Learning Engineer,94564.0,50.0,Revenue Data Scientist - Industry Solutions,130.0,155.0,3.7,"Houzz
3.7",1001 to 5000 Employees
111,2021.0,SE,FT,Director of Data Engineering,113476.0,100.0,,,,,,
112,2021.0,SE,FT,Lead Data Engineer,103160.0,100.0,,,,,,
113,2021.0,EN,PT,AI Scientist,12000.0,100.0,,,,,,
114,2021.0,MI,FT,Data Engineer,45391.0,100.0,Senior Data Scientist,118.0,161.0,3.9,"Kellogg Company
3.9",10000+ Employees
115,2021.0,EN,FT,Machine Learning Scientist,225000.0,100.0,Data Scientist,94.0,132.0,4.0,"ShyftLabs
3.8",51 to 200 Employees
116,2021.0,MI,FT,Data Scientist,50000.0,100.0,Data Scientist,,,5.0,"APPIC Solutions LLC
5.0",1 to 50 Employees
117,2021.0,MI,FT,Data Science Engineer,40189.0,100.0,Data Scientist,150.0,200.0,4.8,"Chapter
4.8",51 to 200 Employees
118,2021.0,EN,FT,Data Analyst,90000.0,100.0,,,,,,
119,2021.0,MI,FT,Data Engineer,200000.0,100.0,Data Scientist Specialist,82.0,143.0,3.9,"Parsons
3.9",10000+ Employees
120,2021.0,MI,FT,Big Data Engineer,60000.0,50.0,,,,,,
121,2021.0,SE,FT,Principal Data Engineer,200000.0,100.0,,,,,,
122,2021.0,EN,FT,Data Analyst,50000.0,100.0,Junior Data Scientist,90.0,140.0,3.4,"HawkEye360
3.4",51 to 200 Employees
123,2021.0,EN,FT,Applied Data Scientist,110037.0,0.0,Data Specialist,30.0,35.0,4.1,Juristat,1 to 50 Employees
124,2021.0,EN,PT,Data Analyst,10354.0,50.0,"2024 Co-Op, Data Science and Artificial Intelligence",116.0,169.0,3.7,"Moderna
3.7",1001 to 5000 Employees
125,2021.0,MI,FT,Principal Data Scientist,151000.0,100.0,Associate Data Scientist,65.0,131.0,4.0,"Tencent
4.0",10000+ Employees
126,2021.0,SE,FT,Machine Learning Scientist,120000.0,50.0,Junior Data Scientist,70.0,104.0,3.9,"Oak Ridge National Laboratory
3.9",5001 to 10000 Employees
127,2021.0,MI,FT,Data Scientist,9466.0,0.0,Data Scientist,105.0,140.0,2.8,"Conversica
2.7",201 to 500 Employees
128,2021.0,EN,FT,Machine Learning Engineer,20000.0,100.0,Data Analytics Manager,70.0,106.0,3.9,"WebstaurantStore
3.9",1001 to 5000 Employees
129,2021.0,SE,FT,Lead Data Scientist,40570.0,50.0,,,,,,
130,2021.0,EN,FT,Machine Learning Developer,100000.0,50.0,Data Scientist,59.0,93.0,3.6,"NYC Careers
3.6",Unknown
131,2021.0,EN,FT,Data Scientist,49646.0,50.0,,,,,,
132,2021.0,MI,FT,Applied Machine Learning Scientist,38400.0,100.0,Data Scientist - Generative AI,76.0,115.0,4.2,"HP
4.2",10000+ Employees
133,2021.0,SE,FT,Computer Vision Engineer,24000.0,100.0,Associate Data Scientist,87.0,116.0,4.0,"Caterpillar
4.0",10000+ Employees
134,2021.0,EN,FT,Data Scientist,100000.0,0.0,"Core Tech TPM, Data and ML",132.0,196.0,3.9,"Meta
3.9",10000+ Employees
135,2021.0,MI,FT,Data Analyst,90000.0,100.0,Public Notice for Direct Hire (Data Modernization),45.0,176.0,4.0,"Centers for Disease Control and Prevention
4.0",10000+ Employees
136,2021.0,MI,FT,ML Engineer,63711.0,50.0,DATA SCIENTIST,92.0,128.0,3.8,"Home Depot / THD
3.8",10000+ Employees
137,2021.0,MI,FT,ML Engineer,77364.0,50.0,,,,,,
138,2021.0,SE,FT,Principal Data Scientist,220000.0,0.0,DATA SCIENTIST,101.0,204.0,4.5,"US Securities and Exchange Commission
4.5",1001 to 5000 Employees
139,2021.0,EN,FT,Data Scientist,80000.0,100.0,,,,,,
140,2021.0,MI,FT,Data Analyst,135000.0,100.0,Data Scientist,150.0,175.0,5.0,"Octaura
5.0",1 to 50 Employees
141,2021.0,SE,FT,Data Science Manager,240000.0,0.0,Entry Level - Associate Consultant (Federal),53.0,100.0,3.9,"IBM
3.9",10000+ Employees
142,2021.0,SE,FT,Data Engineering Manager,150000.0,0.0,Data Scientist/Database Administrator,80.0,126.0,2.8,"Eccalon LLC
2.8",51 to 200 Employees
143,2021.0,MI,FT,Data Scientist,82500.0,100.0,,,,,,
144,2021.0,MI,FT,Data Engineer,100000.0,100.0,Operations Research Data Scientist,94.0,186.0,4.0,"Marriott International, Inc
4.0",10000+ Employees
145,2021.0,SE,FT,Machine Learning Engineer,82744.0,50.0,,,,,,
146,2021.0,MI,FT,Research Scientist,62649.0,50.0,"Data Analyst, Marketing",140.0,190.0,4.8,"Notion
4.9",501 to 1000 Employees
147,2021.0,MI,FT,Data Engineer,90000.0,100.0,,,,,,
148,2021.0,SE,FT,Data Engineering Manager,153000.0,100.0,Data Scientist,89.0,133.0,3.4,"The Chefs' Warehouse
3.4",Unknown
149,2021.0,SE,FT,Cloud Data Engineer,160000.0,100.0,Data Scientist,92.0,126.0,4.2,"Hyperspace Ventures
4.2",1 to 50 Employees
150,2021.0,SE,FT,Director of Data Science,168000.0,0.0,Principal Data Scientist,134.0,248.0,3.9,"LexisNexis
3.9",5001 to 10000 Employees
151,2021.0,MI,FT,Data Scientist,150000.0,100.0,,,,,,
152,2021.0,MI,FT,Data Scientist,75774.0,100.0,Data Scientist,53.0,84.0,4.1,"US Customs and Border Protection
4.1",10000+ Employees
153,2021.0,EN,FT,Data Scientist,13400.0,100.0,Junior Consultant in Strategy & Data Science - New York,69.0,99.0,4.1,"Ekimetrics
4.1",51 to 200 Employees
154,2021.0,SE,FT,Data Science Manager,144000.0,100.0,,,,,,
155,2021.0,SE,FT,Data Science Engineer,127221.0,50.0,Entry Level Data Science - December 2023 and May 2024 Grads,74.0,125.0,4.2,"NXP Semiconductors
4.2",10000+ Employees
156,2021.0,MI,FT,Data Scientist,119059.0,100.0,Data Scientist,81.0,179.0,4.0,"Tencent
4.0",10000+ Employees
157,2021.0,MI,FT,Applied Machine Learning Scientist,423000.0,50.0,Data Scientist,79.0,122.0,4.2,"US Federal Energy Regulatory Commission
4.2",1001 to 5000 Employees
158,2021.0,SE,FT,Data Analytics Manager,120000.0,100.0,Data Scientist,59.0,130.0,4.1,"US Federal Bureau of Investigation
4.1",10000+ Employees
159,2021.0,EN,FT,Machine Learning Engineer,125000.0,100.0,,,,,,
160,2021.0,EX,FT,Head of Data,230000.0,50.0,,,,,,
161,2021.0,EX,FT,Head of Data Science,85000.0,0.0,Data Scientist,90.0,125.0,4.2,"Yale University
4.2",10000+ Employees
162,2021.0,MI,FT,Data Engineer,28369.0,50.0,Data Scientist,74.0,123.0,3.9,"Sasol
3.9",10000+ Employees
163,2021.0,EN,FT,Data Science Consultant,63831.0,50.0,,,,,,
164,2021.0,EX,FT,Director of Data Science,130026.0,50.0,Data Scientist,105.0,171.0,3.9,"McAfee, LLC
3.8",1001 to 5000 Employees
165,2021.0,SE,FT,Data Specialist,165000.0,100.0,Data Scientist,99.0,138.0,3.9,"Altria
3.9",5001 to 10000 Employees
166,2021.0,EN,FT,Data Engineer,80000.0,100.0,Data Scientist,204.0,294.0,4.1,"Zoox
4.1",1001 to 5000 Employees
167,2021.0,EX,FT,Director of Data Science,250000.0,0.0,,,,,,
168,2021.0,EN,FT,BI Data Analyst,55000.0,50.0,Career Consulting Data Scientist - National - College Program 2024,,,3.9,"Mercer
3.9",10000+ Employees
169,2021.0,MI,FT,Data Architect,150000.0,100.0,,,,,,
170,2021.0,MI,FT,Data Architect,170000.0,100.0,,,,,,
171,2021.0,MI,FT,Data Engineer,82528.0,100.0,,,,,,
172,2021.0,EN,FT,Data Analyst,60000.0,100.0,Data Scientist,88.0,132.0,4.9,"Wise Equation Solutions
4.9",51 to 200 Employees
173,2021.0,SE,FT,Principal Data Scientist,235000.0,100.0,Data Scientist,93.0,132.0,4.0,"Federal Reserve Bank of Dallas
3.9",1001 to 5000 Employees
174,2021.0,SE,FT,Research Scientist,60757.0,50.0,,,,,,
175,2021.0,SE,FT,Data Engineering Manager,174000.0,100.0,Jr Data Scientist,77.0,106.0,4.1,"Veracity Software
4.1",51 to 200 Employees
176,2021.0,MI,FT,Data Scientist,2859.0,0.0,Contract - Data Scientist,,,3.6,"GHX
3.6",501 to 1000 Employees
177,2021.0,MI,FT,Data Scientist,40038.0,100.0,E-commerce Data Scientist,153.0,332.0,3.5,"TikTok
3.5",1001 to 5000 Employees
178,2021.0,EN,FT,Machine Learning Engineer,81000.0,50.0,,,,,,
179,2021.0,MI,FT,Data Scientist,5679.0,100.0,Data Scientist,123.0,183.0,4.3,"Fullpower Technologies, Inc.
4.3",51 to 200 Employees
180,2021.0,MI,FT,Big Data Engineer,22611.0,0.0,,,,,,
181,2021.0,MI,FT,Data Scientist,90734.0,50.0,,,,,,
182,2021.0,MI,FT,Data Engineer,26005.0,0.0,Principal Data Scientist,130.0,218.0,4.3,"Fidelity Investments
4.3",10000+ Employees
183,2021.0,SE,FT,Finance Data Analyst,61896.0,50.0,,,,,,
184,2021.0,MI,FL,Machine Learning Scientist,12000.0,50.0,Data Scientist,59.0,82.0,3.6,"University of Rochester
3.6",10000+ Employees
185,2021.0,MI,FT,Data Engineer,4000.0,100.0,,,,,,
186,2021.0,SE,FT,Data Analytics Engineer,50000.0,100.0,,,,,,
187,2021.0,EX,FT,Data Science Consultant,69741.0,100.0,,,,,,
188,2021.0,SE,FT,Data Engineer,76833.0,50.0,Data Scientist III,146.0,174.0,3.7,"SoftDev Incorporated
3.7",1 to 50 Employees
189,2021.0,MI,FT,Machine Learning Engineer,74000.0,50.0,Data Scientist,104.0,145.0,4.2,"Johnson & Johnson
4.2",10000+ Employees
190,2021.0,SE,FT,Data Science Manager,152000.0,100.0,,,,,,
191,2021.0,EN,FT,Machine Learning Engineer,21844.0,50.0,"Data Scientist, Dependency Planning",202.0,316.0,4.3,"Asana
4.3",1001 to 5000 Employees
192,2021.0,MI,FT,Big Data Engineer,18000.0,0.0,,,,,,
193,2021.0,SE,FT,Data Science Manager,174000.0,100.0,Sr Data Scientist,114.0,155.0,4.2,"Blue Cross and Blue Shield of North Carolina
4.2",5001 to 10000 Employees
194,2021.0,SE,FT,Research Scientist,96113.0,50.0,,,,,,
195,2021.0,MI,FT,Data Scientist,147000.0,50.0,Principal Data Scientist,144.0,180.0,4.1,"Rocket Software
4.2",1001 to 5000 Employees
196,2021.0,EN,FT,BI Data Analyst,9272.0,100.0,Statistician- Data Scientist III- PCAPP,105.0,135.0,3.9,"Battelle
3.9",1001 to 5000 Employees
197,2021.0,SE,FT,Machine Learning Engineer,24342.0,100.0,,,,,,
198,2021.0,SE,FT,Data Science Manager,54094.0,50.0,Data Scientist,79.0,109.0,3.6,"Auto-Owners Insurance
3.6",5001 to 10000 Employees
199,2021.0,EN,FT,Data Science Consultant,90000.0,100.0,"Data Scientist, Analytics - Ads",100.0,140.0,3.8,"Quizlet
3.8",201 to 500 Employees
200,2021.0,MI,FT,Data Scientist,61467.0,50.0,,,,,,
201,2021.0,SE,FT,Machine Learning Infrastructure Engineer,195000.0,100.0,,,,,,
202,2021.0,MI,FT,Data Scientist,37825.0,100.0,,,,,,
203,2021.0,SE,FT,Research Scientist,50000.0,100.0,,,,,,
204,2021.0,MI,FT,Data Scientist,160000.0,100.0,Data Scientist,125.0,129.0,4.6,"OTS Solutions
4.6",51 to 200 Employees
205,2021.0,MI,FT,Data Scientist,12901.0,0.0,Data Scientist,107.0,157.0,3.5,"McDonald's Corporation
3.5",10000+ Employees
206,2021.0,SE,FT,Machine Learning Engineer,200000.0,100.0,Data Scientist,81.0,176.0,4.3,"Covenant Eyes
4.3",51 to 200 Employees
207,2021.0,SE,FT,Data Engineer,165000.0,0.0,,,,,,
208,2021.0,MI,FL,Data Engineer,20000.0,0.0,Senior Data Scientist,118.0,158.0,3.9,"Disney
3.9",10000+ Employees
209,2021.0,SE,FT,Data Analytics Manager,120000.0,0.0,,,,,,
210,2021.0,MI,FT,Machine Learning Engineer,24823.0,50.0,Data Scientist,88.0,121.0,3.9,"The Mosaic Company (Tampa, FL)
4.0",5001 to 10000 Employees
211,2021.0,MI,FT,Research Scientist,56738.0,50.0,Data Scientist,106.0,242.0,4.2,"Booz Allen Hamilton
4.2",10000+ Employees
212,2021.0,MI,FT,Data Engineer,66022.0,50.0,Data Scientist,85.0,124.0,4.2,"Lightsource BP
4.2",501 to 1000 Employees
213,2021.0,EN,FT,Big Data Engineer,5882.0,0.0,Senior Data Scientist,169.0,172.0,4.1,"CALICO
4.1",201 to 500 Employees
214,2021.0,EN,FT,Machine Learning Engineer,24823.0,50.0,Remote Data Scientist,81.0,115.0,4.3,"The Infosoft Group
4.3",51 to 200 Employees
215,2021.0,SE,FT,Principal Data Engineer,185000.0,100.0,"Data Scientist, Clinical Analytics",110.0,151.0,3.5,"Spring Health
3.5",501 to 1000 Employees
216,2021.0,EN,PT,Computer Vision Engineer,28609.0,50.0,"Data Scientist, RegLab",87.0,126.0,4.2,"Stanford University
4.2",10000+ Employees
217,2021.0,MI,FT,Data Scientist,90734.0,50.0,Data Scientist,90.0,125.0,4.2,"Yale University
4.2",10000+ Employees
218,2021.0,MI,FT,Machine Learning Engineer,88654.0,100.0,ViiV Healthcare (GSK) US Data Scientist,110.0,167.0,4.1,"GSK
4.1",10000+ Employees
219,2021.0,SE,FT,Data Analytics Manager,140000.0,100.0,Data Scientist,160.0,170.0,4.3,"Forge Global
4.3",1 to 50 Employees
220,2021.0,MI,FT,Machine Learning Engineer,46597.0,100.0,"Senior Data Scientist, Ops Data Platform",160.0,247.0,4.6,"NVIDIA
4.6",10000+ Employees
221,2021.0,MI,FT,Data Scientist,116914.0,50.0,,,,,,
222,2021.0,MI,FT,Data Scientist,33808.0,0.0,Principal Data Scientist,188.0,306.0,4.1,"Salesforce
4.1",10000+ Employees
223,2021.0,MI,FT,Data Scientist,56256.0,50.0,,,,,,
224,2021.0,SE,FT,Machine Learning Scientist,225000.0,100.0,Product Data Scientist,73.0,176.0,4.0,"PayPal
4.0",10000+ Employees
